request_type,run_id,index,filename,latency_seconds,status_code
batch,3,39,8194331212.jpg,0.27090703416615725,200
batch,3,40,954987350.jpg,0.22356890607625246,200
batch,3,41,3392293702.jpg,0.25702296709641814,200
batch,3,42,5405076022.jpg,0.2962731500156224,200
batch,3,43,2322393931.jpg,0.29640981182456017,200
batch,3,44,4936169836.jpg,0.29866667510941625,200
batch,3,45,7125381623.jpg,0.27447696030139923,200
batch,3,46,4631310439.jpg,0.25214085495099425,200
batch,3,47,4563177695.jpg,0.27741621108725667,200
batch,3,48,5340639100.jpg,0.24878792511299253,200
batch,3,49,2616379779.jpg,0.448695732280612,200
batch,3,50,3471173526.jpg,0.2972103492356837,200
batch,3,51,2971285079.jpg,0.2385474443435669,200
batch,3,52,3090877035.jpg,0.29999611200764775,200
batch,3,53,4912991926.jpg,0.27968130074441433,200
batch,3,54,260370720.jpg,0.2769993138499558,200
batch,3,55,229352848.jpg,0.25540144136175513,200
batch,3,56,424379231.jpg,0.3369833752512932,200
batch,3,57,4449702228.jpg,0.258523715659976,200
batch,3,58,1516994798.jpg,0.3171598999761045,200
batch,3,59,2454923455.jpg,0.23505338607355952,200
batch,3,60,1534524182.jpg,0.2838268936611712,200
batch,3,61,4686365380.jpg,0.2612100741825998,200
batch,3,62,3263497678.jpg,0.2974765319377184,200
batch,3,63,3445428367.jpg,0.28473750595003366,200
batch,3,64,38478672.jpg,0.29528098786249757,200
batch,3,65,4799951910.jpg,0.30578739009797573,200
batch,3,66,2384550175.jpg,0.24187298817560077,200
batch,3,67,661546153.jpg,0.31489942595362663,200
batch,3,68,357870895.jpg,0.20413967641070485,200
batch,3,69,2847615962.jpg,0.16372008621692657,200
batch,3,70,2646615552.jpg,0.43072345294058323,200
batch,3,71,2921430836.jpg,0.28181738080456853,200
batch,3,72,7232861768.jpg,0.20022032083943486,200
batch,3,73,5645857612.jpg,0.24866762198507786,200
batch,3,74,221024576.jpg,0.2449832377023995,200
batch,3,75,2827964381.jpg,0.24846561532467604,200
batch,3,76,2994985669.jpg,0.2650897935964167,200
batch,3,77,2426215757.jpg,0.2500956691801548,200
batch,3,78,257699783.jpg,0.27411229675635695,200
batch,3,79,3582914905.jpg,0.24831921886652708,200
batch,3,80,208062991.jpg,0.21368649182841182,200
batch,3,81,2609082055.jpg,0.2275157836265862,200
batch,3,82,287967163.jpg,0.2515878640115261,200
batch,3,83,4834395459.jpg,0.3505598260089755,200
batch,3,84,4869914617.jpg,0.23182508070021868,200
batch,3,85,4799147179.jpg,0.32816895097494125,200
batch,3,86,2937942758.jpg,0.27728450996801257,200
batch,3,87,3388836914.jpg,0.3629407468251884,200
batch,3,88,4939691102.jpg,0.26215362502261996,200
batch,3,89,1093716555.jpg,0.28533976012840867,200
batch,3,90,344398054.jpg,0.41600965801626444,200
batch,3,91,372559387.jpg,0.35257341526448727,200
batch,3,92,3065560742.jpg,0.35550187062472105,200
batch,3,93,2786242106.jpg,0.4343874999321997,200
batch,3,94,2855594918.jpg,0.3296853397041559,200
batch,3,95,2750912179.jpg,0.26495515927672386,200
batch,3,96,4752074240.jpg,0.27075155824422836,200
batch,3,97,3983185073.jpg,0.49769442342221737,200
batch,3,98,3710607005.jpg,0.30029841186478734,200
batch,3,99,3394750987.jpg,0.21112061897292733,200
batch,4,0,2115721452.jpg,0.24437796091660857,200
batch,4,1,191003287.jpg,0.3059273581020534,200
batch,4,2,758921886.jpg,0.32666945504024625,200
batch,4,3,1675679141.jpg,0.17202374804764986,200
batch,4,4,2592711202.jpg,0.232245285063982,200
batch,4,5,4767429078.jpg,0.2715595057234168,200
batch,4,6,2863539038.jpg,0.2807940091006458,200
batch,4,7,4717479637.jpg,0.31117891520261765,200
batch,4,8,3514194772.jpg,0.2556839780882001,200
batch,4,9,4743212760.jpg,0.26475236332044005,200
batch,4,10,332303587.jpg,0.2816053400747478,200
batch,4,11,4419476684.jpg,0.2392917387187481,200
batch,4,12,83457315.jpg,0.22635187301784754,200
batch,4,13,2853811730.jpg,0.2694285777397454,200
batch,4,14,44401148.jpg,0.1866920250467956,200
batch,4,15,887108308.jpg,0.24480952322483063,200
